compress_at_step,compression_ratio,compress_scale,seed,original_path,compressed_path,PSNR,SSIM
2,0.9,1.11,48,original_seed48.png,step2_ratio0.9_seed48_compressed.png,16.21,0.7173
2,0.9,1.11,49,original_seed49.png,step2_ratio0.9_seed49_compressed.png,21.75,0.8045
2,0.9,1.11,50,original_seed50.png,step2_ratio0.9_seed50_compressed.png,20.28,0.7854
2,0.9,1.11,51,original_seed51.png,step2_ratio0.9_seed51_compressed.png,18.51,0.7331
2,0.9,1.11,52,original_seed52.png,step2_ratio0.9_seed52_compressed.png,19.15,0.7517
2,0.9,1.11,53,original_seed53.png,step2_ratio0.9_seed53_compressed.png,18.1,0.7458
2,0.9,1.11,54,original_seed54.png,step2_ratio0.9_seed54_compressed.png,18.96,0.7803
2,0.9,1.11,55,original_seed55.png,step2_ratio0.9_seed55_compressed.png,20.56,0.7816
2,0.9,1.11,56,original_seed56.png,step2_ratio0.9_seed56_compressed.png,17.85,0.7284
2,0.9,1.11,57,original_seed57.png,step2_ratio0.9_seed57_compressed.png,16.8,0.705
2,0.9,1.11,58,original_seed58.png,step2_ratio0.9_seed58_compressed.png,18.66,0.7661
2,0.9,1.11,59,original_seed59.png,step2_ratio0.9_seed59_compressed.png,19.26,0.7083
2,0.9,1.11,60,original_seed60.png,step2_ratio0.9_seed60_compressed.png,19.5,0.7614
2,0.9,1.11,61,original_seed61.png,step2_ratio0.9_seed61_compressed.png,18.29,0.7386
2,0.9,1.11,62,original_seed62.png,step2_ratio0.9_seed62_compressed.png,19.35,0.7349
2,0.9,1.11,63,original_seed63.png,step2_ratio0.9_seed63_compressed.png,19.45,0.716
2,0.9,1.11,64,original_seed64.png,step2_ratio0.9_seed64_compressed.png,20.24,0.7845
2,0.9,1.11,65,original_seed65.png,step2_ratio0.9_seed65_compressed.png,18.82,0.776
2,0.9,1.11,66,original_seed66.png,step2_ratio0.9_seed66_compressed.png,17.52,0.7328
2,0.9,1.11,67,original_seed67.png,step2_ratio0.9_seed67_compressed.png,18.4,0.7605
2,0.9,1.11,68,original_seed68.png,step2_ratio0.9_seed68_compressed.png,19.3,0.7795
2,0.9,1.11,69,original_seed69.png,step2_ratio0.9_seed69_compressed.png,21.01,0.8068
2,0.9,1.11,70,original_seed70.png,step2_ratio0.9_seed70_compressed.png,17.98,0.751
2,0.9,1.11,71,original_seed71.png,step2_ratio0.9_seed71_compressed.png,21.13,0.7923
2,0.9,1.11,72,original_seed72.png,step2_ratio0.9_seed72_compressed.png,21.31,0.827
2,0.9,1.11,73,original_seed73.png,step2_ratio0.9_seed73_compressed.png,17.92,0.7065
2,0.9,1.11,74,original_seed74.png,step2_ratio0.9_seed74_compressed.png,19.43,0.7743
2,0.9,1.11,75,original_seed75.png,step2_ratio0.9_seed75_compressed.png,19.2,0.7792
2,0.9,1.11,76,original_seed76.png,step2_ratio0.9_seed76_compressed.png,20.0,0.8024
2,0.9,1.11,77,original_seed77.png,step2_ratio0.9_seed77_compressed.png,17.77,0.7353
2,0.9,1.11,78,original_seed78.png,step2_ratio0.9_seed78_compressed.png,18.55,0.7309
2,0.9,1.11,79,original_seed79.png,step2_ratio0.9_seed79_compressed.png,18.59,0.7489
2,0.9,1.11,80,original_seed80.png,step2_ratio0.9_seed80_compressed.png,18.27,0.7558
2,0.9,1.11,81,original_seed81.png,step2_ratio0.9_seed81_compressed.png,18.42,0.7726
2,0.9,1.11,82,original_seed82.png,step2_ratio0.9_seed82_compressed.png,18.21,0.7319
2,0.9,1.11,83,original_seed83.png,step2_ratio0.9_seed83_compressed.png,19.34,0.7499
2,0.9,1.11,84,original_seed84.png,step2_ratio0.9_seed84_compressed.png,18.99,0.7569
2,0.9,1.11,85,original_seed85.png,step2_ratio0.9_seed85_compressed.png,17.02,0.7074
2,0.9,1.11,86,original_seed86.png,step2_ratio0.9_seed86_compressed.png,18.94,0.7828
2,0.9,1.11,87,original_seed87.png,step2_ratio0.9_seed87_compressed.png,17.22,0.7026
2,0.9,1.11,88,original_seed88.png,step2_ratio0.9_seed88_compressed.png,18.13,0.7303
2,0.9,1.11,89,original_seed89.png,step2_ratio0.9_seed89_compressed.png,18.2,0.7555
2,0.9,1.11,90,original_seed90.png,step2_ratio0.9_seed90_compressed.png,17.18,0.7239
2,0.9,1.11,91,original_seed91.png,step2_ratio0.9_seed91_compressed.png,18.04,0.7303
2,0.8,1.25,42,original_seed42.png,step2_ratio0.8_seed42_compressed.png,20.71,0.8104
2,0.8,1.25,43,original_seed43.png,step2_ratio0.8_seed43_compressed.png,19.27,0.8064
2,0.8,1.25,44,original_seed44.png,step2_ratio0.8_seed44_compressed.png,20.29,0.8093
2,0.8,1.25,45,original_seed45.png,step2_ratio0.8_seed45_compressed.png,20.24,0.7634
2,0.8,1.25,46,original_seed46.png,step2_ratio0.8_seed46_compressed.png,18.68,0.772
2,0.8,1.25,47,original_seed47.png,step2_ratio0.8_seed47_compressed.png,20.57,0.8162
2,0.8,1.25,48,original_seed48.png,step2_ratio0.8_seed48_compressed.png,16.84,0.7286
2,0.8,1.25,49,original_seed49.png,step2_ratio0.8_seed49_compressed.png,21.19,0.7878
2,0.8,1.25,50,original_seed50.png,step2_ratio0.8_seed50_compressed.png,20.51,0.8041
2,0.8,1.25,51,original_seed51.png,step2_ratio0.8_seed51_compressed.png,18.15,0.7231
2,0.8,1.25,52,original_seed52.png,step2_ratio0.8_seed52_compressed.png,19.69,0.7794
2,0.8,1.25,53,original_seed53.png,step2_ratio0.8_seed53_compressed.png,16.9,0.7675
2,0.8,1.25,54,original_seed54.png,step2_ratio0.8_seed54_compressed.png,19.91,0.7997
2,0.8,1.25,55,original_seed55.png,step2_ratio0.8_seed55_compressed.png,20.69,0.8044
2,0.8,1.25,56,original_seed56.png,step2_ratio0.8_seed56_compressed.png,17.66,0.7491
2,0.8,1.25,57,original_seed57.png,step2_ratio0.8_seed57_compressed.png,18.82,0.757
2,0.8,1.25,58,original_seed58.png,step2_ratio0.8_seed58_compressed.png,20.43,0.7957
2,0.8,1.25,59,original_seed59.png,step2_ratio0.8_seed59_compressed.png,19.08,0.7308
2,0.8,1.25,60,original_seed60.png,step2_ratio0.8_seed60_compressed.png,20.31,0.78
2,0.8,1.25,61,original_seed61.png,step2_ratio0.8_seed61_compressed.png,18.78,0.7773
2,0.8,1.25,62,original_seed62.png,step2_ratio0.8_seed62_compressed.png,19.78,0.7701
2,0.8,1.25,63,original_seed63.png,step2_ratio0.8_seed63_compressed.png,18.21,0.7157
2,0.8,1.25,64,original_seed64.png,step2_ratio0.8_seed64_compressed.png,20.24,0.7848
2,0.8,1.25,65,original_seed65.png,step2_ratio0.8_seed65_compressed.png,19.49,0.8139
2,0.8,1.25,66,original_seed66.png,step2_ratio0.8_seed66_compressed.png,17.48,0.7644
2,0.8,1.25,67,original_seed67.png,step2_ratio0.8_seed67_compressed.png,21.26,0.8176
2,0.8,1.25,68,original_seed68.png,step2_ratio0.8_seed68_compressed.png,19.89,0.8013
2,0.8,1.25,69,original_seed69.png,step2_ratio0.8_seed69_compressed.png,21.27,0.8255
2,0.8,1.25,70,original_seed70.png,step2_ratio0.8_seed70_compressed.png,18.49,0.7798
2,0.8,1.25,71,original_seed71.png,step2_ratio0.8_seed71_compressed.png,21.96,0.8274
2,0.8,1.25,72,original_seed72.png,step2_ratio0.8_seed72_compressed.png,21.93,0.825
2,0.8,1.25,73,original_seed73.png,step2_ratio0.8_seed73_compressed.png,18.06,0.7445
2,0.8,1.25,74,original_seed74.png,step2_ratio0.8_seed74_compressed.png,20.86,0.8109
2,0.8,1.25,75,original_seed75.png,step2_ratio0.8_seed75_compressed.png,21.22,0.8317
2,0.8,1.25,76,original_seed76.png,step2_ratio0.8_seed76_compressed.png,19.94,0.8217
2,0.8,1.25,77,original_seed77.png,step2_ratio0.8_seed77_compressed.png,18.94,0.7793
2,0.8,1.25,78,original_seed78.png,step2_ratio0.8_seed78_compressed.png,21.5,0.7796
2,0.8,1.25,79,original_seed79.png,step2_ratio0.8_seed79_compressed.png,18.78,0.7505
